  1.25936035663854382e-19 -1.07244632981755342e-23  1.48733009694508188e-25
 -1.58062151696864232e-27 -2.83558720677503586e-30  2.05846180002728508e-32
1136+1551  20-Jan-14  180000.00   56677.74999999990             4.864056 -0.747 -9.828
    747017585.127984    0.841812442909 gmrt  300   12   150.000                
 -9.79238272307898810e-11  3.63031413578889135e-03 -7.32615812677794209e-08
 -2.14001072628632614e-10  8.46713441358624386e-14  2.06207789580529259e-16
 -5.73472419877438464e-20 -2.12534829702620995e-22  1.74358075654753866e-25
  4.42079244441048876e-27 -2.50640996442746016e-30 -6.08751206769960620e-32
1136+1551  20-Jan-14  230000.00   56677.95833333320             4.864056 -0.730 -9.822
    747032738.829802    0.841812442909 gmrt  300   12   150.000                
  2.09937096977182299e-10  3.54479466599281253e-03 -1.75636691305879787e-07
  2.01038583882663572e-11  2.47789322830173998e-13 -1.88709247284940679e-17
 -1.54273119790450639e-19 -2.04452627142975201e-23 -1.03702335844612571e-25
  7.88617810005174570e-28  2.27115067058627883e-30 -7.50982714314455898e-33
1136+1551  21-Jan-14   40000.00   56678.16666666660             4.864055 -0.715 -9.566
    747047892.503804    0.841812442909 gmrt  300   12   150.000                
 -2.42430891302523254e-10  3.46865414118731124e-03 -4.66455657344694318e-08
  2.24130275886735616e-10  4.19517872999753597e-14 -2.15399092492159832e-16
 -2.90048590848101674e-20  1.67896776650603166e-22  8.44432002547306835e-26
 -2.73679302046255765e-27 -8.34564885919611053e-31  3.86909577206815001e-32
1136+1551  21-Jan-14   90000.00   56678.37499999990             4.864055 -0.720 -9.832
    747063046.170044    0.841812442909 gmrt  300   12   150.000                
 -5.43058923602772472e-11  3.49712697636823597e-03  1.21485732043040484e-07
  9.42186196396531807e-11 -2.26433202954433007e-13 -8.96864829188626840e-17
  1.46374973285702349e-19  1.30992804400573447e-24 -1.43491582819144618e-25
  1.24344451438689576e-27  1.64055539232189258e-30 -1.49361573219611727e-32
1136+1551  21-Jan-14  130000.00   56678.54166666660             4.864055 -0.732 -9.560
    747075169.116040    0.841812442909 gmrt  300   12   150.000                
 -2.75573221328790777e-10  3.55843067048807957e-03  1.06198277277397806e-07
 -1.32729822164820394e-10 -2.02136263151874084e-13  1.27286476629133934e-16
  1.29366775118880409e-19 -9.61224659129521509e-23 -6.59037208256478501e-26
  1.78561570780254816e-27  4.49617019284321899e-31 -2.82802858326401963e-32
1136+1551  21-Jan-14  180000.00   56678.74999999990             4.864055 -0.735 -9.862
    747090322.812264    0.841812442909 gmrt  300   12   150.000                
 -1.64115232476789372e-10  3.57114298038268890e-03 -7.61681744213097477e-08
 -2.12634760927097053e-10  8.86941950182397712e-14  2.04207086082522440e-16
 -6.08719638809495081e-20 -1.51749082664804632e-22  2.10580096017312068e-25
  2.10639454345810863e-27 -2.95285222045547354e-30 -2.80110392439943941e-32
1136+1551  21-Jan-14  230000.00   56678.95833333320             4.864055 -0.718 -9.795
    747105476.496133    0.841812442909 gmrt  300   12   150.000                
  7.18108399333565418e-11  3.48459514339288182e-03 -1.75767158349452104e-07
  2.39981704652971803e-11  2.47394965281518711e-13 -2.27904577330608537e-17
 -1.55487423331921213e-19  4.12868309555157696e-24 -6.62444433165988374e-26
 -2.30634965093101628e-28  2.00961198011808070e-30  8.16925911412247862e-33
1136+1551  22-Jan-14   40000.00   56679.16666666660             4.864055 -0.703 -9.576
    747120630.152156    0.841812442909 gmrt  300   12   150.000                
