1012+5307  20-Jan-14  163000.00   56677.68750000000             9.007277 -0.185 -7.331
 122606280485.676870  190.267837701386 lofar 300   12   150.000 0.8429   1.6538
 -2.00991383328408268e-08  4.74377619521717364e-01 -2.71595476343474470e-03
 -2.29807342440020551e-06  1.17948804017264788e-08  5.94950005808259025e-12
 -2.05132795014704639e-14 -7.29437607544267226e-18  1.91608632303219782e-20
  4.55527283238691698e-24 -1.10519967443796450e-26  5.70091177009004265e-30
1012+5307  20-Jan-14  213000.00   56677.89583333330             9.007277 -0.183 -7.612
 122609705237.317970  190.267837701386 lofar 300   12   150.000 0.1875   1.6538
  2.70621529005476980e-09 -5.62958141798142409e-01  7.23738596076556090e-04
  6.68338838935276334e-06 -3.17809070895801112e-09 -1.74190087622472275e-11
  5.50988821919351240e-15  2.15575209576250793e-17 -5.06202300132095683e-21
 -1.57943387772897404e-23  2.61883525356803700e-27  1.27500372777895213e-29
1012+5307  21-Jan-14   23000.00   56678.10416666660             9.007277 -0.174 -7.503
 122613130075.147819  190.267837701386 lofar 300   12   150.000 0.5320   1.6538
 -1.85922980344699340e-08  8.00404761596609005e-01  1.87904995627615054e-03
 -5.21420288208602303e-06 -8.21977931545093407e-09  1.35848135462086918e-11
  1.43267966908303091e-14 -1.68687258094995175e-17 -1.34791388379289619e-20
  1.27163304250129470e-23  8.22353681129186242e-27 -1.31584536602651193e-29
1012+5307  21-Jan-14   73000.00   56678.31250000000             9.007277 -0.167 -7.340
 122616555137.261337  190.267837701386 lofar 300   12   150.000 0.8766   1.6538
 -7.76642585832709731e-09  2.90123983432996113e-01 -2.86610813761403261e-03
 -8.39944121718083890e-07  1.24129484187949697e-08  2.20639835384505601e-12
 -2.15526430707416958e-14 -2.67804405773857779e-18  2.00700025813534061e-20
  1.67471573195671339e-24 -1.13936162330006463e-26  6.83688210846999671e-32
1012+5307  21-Jan-14  123000.00   56678.52083333330             9.007277 -0.168 -7.637
 122619979855.640611  190.267837701386 lofar 300   12   150.000 0.2211   1.6538
 -3.29402277763485296e-09 -5.20370911162237437e-01  1.31139639848164486e-03
  6.18852146307670365e-06 -5.67288781377487037e-09 -1.60937148413766648e-11
  9.79465983083683205e-15  1.99167218245127207e-17 -8.98407996528438226e-21
 -1.46823226697494231e-23  4.65071119226114899e-27  1.24452219647781085e-29
1012+5307  21-Jan-14  160000.00   56678.66666666660             9.007277 -0.171 -7.252
 122622377219.810481  190.267837701386 lofar 300   12   150.000 0.4623   1.6538
 -4.66825537861342843e-08  5.16736897825888941e-01  2.64540670187369967e-03
 -2.79890955652045552e-06 -1.14744038421143759e-08  7.25844838168604869e-12
  1.99222720865445193e-14 -8.94142279080732484e-18 -1.85963345589146442e-20
  6.31779520371606736e-24  1.04744824073529418e-26 -2.87005285421305332e-30
1012+5307  21-Jan-14  210000.00   56678.87499999990             9.007277 -0.171 -7.481
 122625802294.649831  190.267837701386 lofar 300   12   150.000 0.8068   1.6538
 -1.11499562655686946e-08  6.20905907214915009e-01 -2.44808123208308101e-03
 -3.71768246194246202e-06  1.05916279709005821e-08  9.64130909557132804e-12
 -1.84083385558485531e-14 -1.19206485887583533e-17  1.72566833421066665e-20
