 -2.62959257227337474e-07 -5.68883708351426390e-11  2.37310378887061992e-13
  3.45536282668319849e-17 -1.03183417093593045e-19 -9.44012189929571944e-24
  2.68267955604671299e-26 -2.94484065791242060e-29  8.82302862563617401e-32
B0655+64   13-Jun-14   90000.00   56821.37500000000             8.771163  0.210 -8.414
   3539248525.615453    5.110620788131  aro  300   12   327.000 0.8637   0.9721
 -1.84389783476623936e-09  5.45884650026555521e-02 -1.38286504725293214e-04
 -1.83353320221138052e-07  2.07990576275279808e-10  1.64909435790818020e-13
 -1.25943771766619354e-16 -6.97394957843248575e-20  4.30795346315720033e-23
 -1.20048438643302474e-26 -2.28367568330544478e-29  3.77286422157674733e-31
B0655+64   13-Jun-14  140000.00   56821.58333333330             8.771163  0.207 -8.702
   3539340517.751127    5.110620788131  aro  300   12   327.000 0.0662   0.9721
  2.67236519480192058e-10 -5.08608510995349344e-02 -1.64397191442699169e-04
  1.33173324836955434e-07  2.46255325177942777e-10 -1.20224647502493031e-13
 -1.46689880888370897e-16  5.27551954596916428e-20  4.66034723806161080e-23
 -3.06141054583497901e-26 -2.32850609772338922e-29  2.10099237911166949e-31
B0655+64   13-Jun-14  190000.00   56821.79166666660             8.771163  0.209 -8.555
   3539432484.076703    5.110620788131  aro  300   12   327.000 0.2688   0.9721
 -2.17328045165089689e-09 -9.36169616322111153e-02  4.16284717021036553e-05
  2.61298354780632554e-07 -6.19911738424642438e-11 -2.34295142997174912e-13
  3.66475699800598965e-17  9.94216294117562044e-20 -1.00685810162783809e-23
 -3.04417196610131313e-26 -1.35707190846377076e-29  2.13348903394813307e-32
B0655+64   14-Jun-14       0.00   56822.00000000000             8.771163  0.210 -8.521
   3539524456.943216    5.110620788131  aro  300   12   327.000 0.4713   0.9721
  8.84929484508065189e-10 -1.32657567187703281e-02  1.89170131435713041e-04
  2.10573535841965868e-08 -2.83335438690457833e-10 -1.97951294645616966e-14
  1.69675384696075851e-16  9.72144573028512309e-21 -5.25339139304409915e-23
  2.75242294994725300e-27 -2.15209598809458686e-29 -8.19245004491370869e-32
B0655+64   14-Jun-14   50000.00   56822.20833333330             8.771164  0.207 -8.647
   3539616459.510706    5.110620788131  aro  300   12   327.000 0.6738   0.9721
 -5.97219422136460731e-10  7.69495877210373269e-02  6.97946110448983173e-05
 -2.49644026415897092e-07 -1.04825223708321483e-10  2.25169992063598108e-13
  6.36465975367381695e-17 -9.80198941389033784e-20 -1.93995259162416821e-23
  4.02654803715559588e-26 -2.37265999419135865e-29 -1.54311785416318597e-31
B0655+64   14-Jun-14   90000.00   56822.37500000000             8.771164  0.198 -8.362
   3539690071.326099    5.110620788131  aro  300   12   327.000 0.8358   0.9721
 -2.47721299224436253e-09  6.54199173684294477e-02 -1.13581387192538769e-04
 -2.14821320921727209e-07  1.70929213946382434e-10  1.93509690622539384e-13
 -1.03684606593909248e-16 -8.25492016503992555e-20  3.68795183511744627e-23
 -6.20792239241853503e-27 -3.80189014249206667e-29  3.46723758719603126e-31
B0655+64   14-Jun-14  140000.00   56822.58333333330             8.771164  0.196 -8.739
   3539782067.867391    5.110620788131  aro  300   12   327.000 0.0383   0.9721
  4.16024639217360548e-10 -3.62974984422557920e-02 -1.78363286594242085e-04
  9.06589030627513608e-08  2.67311813914706311e-10 -8.21991699637729991e-14
 -1.59585773616056366e-16  3.69069606664885302e-20  5.06505540109377711e-23
 -3.12084563185562294e-26 -1.67877274538751483e-29  2.87473641506048906e-31
B0655+64   14-Jun-14  190000.00   56822.79166666660             8.771164  0.197 -8.547
   3539874036.407567    5.110620788131  aro  300   12   327.000 0.2409   0.9721
 -2.38961986533976897e-09 -9.53576303604482256e-02  8.77324028295871713e-06
  2.67593860180878435e-07 -1.28988760119030541e-11 -2.39887284365072468e-13
  7.58302926187734901e-18  1.01593138095129185e-19 -5.14956419185086981e-26
 -2.70091750722927814e-26 -3.36603850873267809e-29 -3.36175954391892286e-32
B0655+64   15-Jun-14       0.00   56823.00000000000             8.771165  0.198 -8.491
   3539966006.328831    5.110620788131  aro  300   12   327.000 0.4434   0.9721
  1.19987543945737629e-09 -2.83412441689509069e-02  1.83740673518757882e-04
  6.73298439385708922e-08 -2.75033209755670917e-10 -6.13167186953619128e-14
  1.64336754343892445e-16  2.71218775557616689e-20 -5.18115527042713881e-23
  6.88396853505959613e-27  3.90532033720457859e-30 -2.02521427467211266e-31
B0655+64   15-Jun-14   50000.00   56823.20833333330             8.771165  0.195 -8.670
   3540058005.100725    5.110620788131  aro  300   12   327.000 0.6459   0.9721
 -1.54435374633953709e-09  7.03378347568195533e-02  9.95392473062556169e-05
