  5.09225697873543026e-11  3.24977202800658121e-15 -7.25183699109076573e-16
 -3.70609700317067670e-20  4.71569773271477629e-21  2.09023215661576195e-25
1810+17    25-Jul-13  223000.00   56498.93749999990            39.659352  0.357 -2.713
  50348122965.497664  601.411516081674  aro  300   12   150.000 0.8894   6.7490
 -2.80405480377101182e-03 -3.27634113016405659e-01 -2.04829389882672137e-02
 -1.39154029058032676e-04  1.47409011374893470e-06  6.03044341464031015e-09
 -4.20236314054987574e-11 -1.23832599533739912e-13  6.02000106397697836e-16
  1.41286789169202028e-18 -3.95484588710278231e-21 -7.97561753619418245e-24
1810+17    26-Jul-13   33000.00   56499.14583333320            39.659352  0.370 -3.003
  50358947911.649730  601.411516081674  aro  300   12   150.000 0.2955   6.7490
  1.38385170347853949e-03 -2.90784268058116435e+00  9.00311670398945031e-03
  2.27075403023273097e-04 -6.56425698274937916e-07 -9.81931891437943234e-09
  1.87617326260209050e-11  1.99840629075981408e-13 -2.70261145809393001e-16
 -2.23057026010141144e-18  1.79230421785366999e-21  1.21158288948497324e-23
1810+17    26-Jul-13   83000.00   56499.35416666660            39.659352  0.382 -3.134
  50369772919.612682  601.411516081674  aro  300   12   150.000 0.7015   6.7490
  9.49098308293296923e-04  2.72592410921438655e-01  5.31212718259132816e-03
 -2.38216929646940453e-04 -3.85785697991271829e-07  1.03114844078893552e-08
  1.10691449641617225e-11 -2.10171715318998515e-13 -1.60947608958520830e-16
  2.35456387287951944e-18  1.08416002158706610e-21 -1.28745869860618744e-23
1810+17    26-Jul-13  133000.00   56499.56249999990            39.659352  0.378 -2.780
  50380597968.167699  601.411516081674  aro  300   12   150.000 0.1076   6.7490
 -2.36724197852946835e-03 -2.53229278598767804e+00 -1.78925293134806034e-02
  1.68983456647917631e-04  1.29415053068502323e-06 -7.32532880449107871e-09
 -3.68672608660641624e-11  1.50331586854040891e-13  5.27087306154937374e-16
 -1.71266886529124706e-18 -3.45090967659263618e-21  9.64361911447424146e-24
1810+17    26-Jul-13  173000.00   56499.72916666660            39.659352  0.369 -3.375
  50389257930.345412  601.411516081674  aro  300   12   150.000 0.2321   6.7490
  1.88881273986343497e-04 -3.02181976237222427e+00 -5.10306232339964951e-04
  2.43925604510091242e-04  3.94400030543837491e-08 -1.05612908511233182e-08
 -1.04115175561139866e-12  2.15565600579799128e-13  1.19968610733671968e-17
 -2.42339490763367356e-18 -4.59180863418089732e-23  1.33331521010051793e-23
1810+17    26-Jul-13  223000.00   56499.93749999990            39.659352  0.368 -2.858
  50400082905.514438  601.411516081674  aro  300   12   150.000 0.6382   6.7490
  1.99141609758489088e-03  5.23166443378236534e-02  1.42729211642699250e-02
 -1.99551973305273984e-04 -1.03240184759420704e-06  8.62116473201777374e-09
  2.94429920565527543e-11 -1.75217599027127015e-13 -4.22082939557711684e-16
  1.94915451424414461e-18  2.77630377642828731e-21 -1.05226007784312741e-23
1810+17    27-Jul-13   33000.00   56500.14583333320            39.659352  0.381 -2.653
  50410907994.582920  601.411516081674  aro  300   12   150.000 0.0442   6.7490
 -3.24998525189991450e-03 -1.98094654666261771e+00 -2.33068470465011626e-02
  8.75658235072013203e-05  1.67427997545733648e-06 -3.79886317362825706e-09
 -4.77496518874256520e-11  7.81153750336057323e-14  6.84747382103801130e-16
 -8.94183644794068106e-19 -4.50660337099209416e-21  5.07576384666347533e-24
